Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
-19.55,169.27,78.47,100.0,100.0,15.79
42.65,-73.75,17.53,73.0,90.0,3.6
14.9,-24.5,74.37,89.0,8.0,17.13
15.34,74.49,78.8,29.0,0.0,3.36
-53.16,-70.91,54.55,62.0,40.0,17.22
-42.48,-73.76,53.6,87.0,90.0,13.87
-34.72,135.86,67.17,92.0,92.0,15.79
-23.58,149.07,75.9,61.0,0.0,9.98
-23.12,-134.97,79.19,100.0,76.0,13.44
-46.19,168.86,41.21,86.0,0.0,2.71
22.08,-159.32,67.64,78.0,90.0,9.17
46.45,135.83,-5.82,53.0,32.0,6.4
-54.81,-68.31,50.0,87.0,75.0,20.8
19.71,-155.08,68.0,67.0,90.0,4.7
69.44,-133.03,-10.1,100.0,20.0,16.69
-5.2,-35.46,87.8,62.0,75.0,11.41
73.51,80.55,8.4,100.0,64.0,12.55
43.18,-2.47,52.41,66.0,20.0,3.36
-5.09,-81.11,62.6,290.0,75.0,16.11
-25.17,45.06,87.38,70.0,76.0,4.38
50.63,-96.99,13.67,96.0,12.0,26.87
45.36,-73.48,18.97,79.0,90.0,3.36
55.22,75.96,15.29,86.0,64.0,6.62
25.19,73.45,56.73,46.0,0.0,4.61
6.8,-58.16,81.41,78.0,75.0,11.41
77.48,-69.36,-32.24,100.0,0.0,8.63
-34.42,19.24,75.9,49.0,0.0,6.4
-20.41,57.7,84.2,66.0,40.0,11.41
36.07,-79.4,35.46,72.0,90.0,8.05
49.72,-86.95,8.6,78.0,90.0,9.17
-33.64,115.35,63.26,100.0,0.0,21.5
66.94,-53.67,-20.54,100.0,24.0,3.49
-0.92,100.36,78.8,88.0,75.0,2.24
30.12,55.12,54.17,43.0,56.0,12.88
13.22,-59.52,82.4,69.0,75.0,14.99
49.63,-102.27,26.6,79.0,90.0,20.8
26.33,43.97,66.2,48.0,75.0,12.75
39.95,-94.76,32.38,100.0,90.0,8.05
-51.62,-69.22,59.0,44.0,40.0,18.34
68.75,161.3,-31.02,53.0,36.0,3.71
62.23,-6.59,39.2,96.0,76.0,9.17
-35.17,173.16,64.38,97.0,92.0,16.02
37.17,-99.65,22.31,68.0,0.0,3.04
59.7,30.79,26.6,86.0,90.0,4.47
70.62,147.9,-38.85,83.0,24.0,8.3
-3.36,135.5,68.7,96.0,36.0,1.92
-33.93,18.42,73.4,56.0,20.0,24.16
-42.78,147.06,62.6,82.0,0.0,2.24
-9.8,-139.03,79.19,100.0,48.0,17.58
-13.71,-76.2,71.6,30.0,90.0,8.05
69.7,170.27,-12.57,100.0,88.0,16.02
50.2,-66.38,-0.41,77.0,75.0,6.93
-12.93,45.15,86.0,74.0,0.0,9.17
-34.53,20.04,77.0,50.0,0.0,14.99
61.69,27.27,24.8,100.0,90.0,3.36
66.5,25.72,14.0,92.0,90.0,6.93
-33.21,138.6,78.65,41.0,0.0,8.63
-43.53,172.64,51.8,87.0,0.0,2.24
60.79,-161.76,35.62,84.0,90.0,6.93
8.07,22.4,91.2,41.0,8.0,4.5
49.2,119.7,3.05,78.0,64.0,8.75
-7.95,110.28,74.82,96.0,92.0,6.06
13.72,123.58,76.49,88.0,0.0,14.12
63.59,-135.9,-0.41,77.0,90.0,2.24
71.97,114.09,-42.0,0.0,0.0,13.89
-26.98,-56.83,91.16,65.0,36.0,7.52
28.28,88.52,-12.53,44.0,0.0,4.61
50.65,-102.08,13.17,84.0,36.0,18.14
60.91,-46.05,32.0,92.0,75.0,12.75
60.72,-135.06,12.2,85.0,90.0,2.24
-20.63,-46.0,85.62,64.0,8.0,7.52
54.33,110.32,-21.3,53.0,0.0,1.81
40.08,-74.07,28.11,55.0,1.0,10.29
3.78,72.97,80.9,100.0,48.0,17.69
-33.59,26.89,75.32,78.0,0.0,9.75
39.45,22.34,45.28,20.0,20.0,13.87
38.18,-1.13,60.8,67.0,20.0,6.93
63.46,48.9,21.59,84.0,80.0,5.39
55.74,-97.86,-16.61,68.0,5.0,8.05
35.71,-79.81,37.33,92.0,90.0,6.62
-33.69,-53.46,70.5,100.0,92.0,5.06
9.56,44.06,73.4,53.0,0.0,19.46
-16.48,-151.75,83.73,100.0,80.0,12.55
-33.02,27.91,77.0,73.0,75.0,13.87
-5.11,-36.64,85.35,84.0,0.0,3.94
-2.57,150.8,83.69,100.0,44.0,10.76
-34.85,139.16,80.6,22.0,0.0,11.41
7.06,-3.97,96.56,40.0,0.0,3.38
25.52,90.21,51.2,78.0,0.0,1.81
28.22,61.21,52.68,72.0,44.0,6.06
38.52,-28.7,62.6,82.0,75.0,6.93
66.83,70.83,0.53,94.0,56.0,12.66
-37.83,140.78,64.4,88.0,90.0,10.29
69.38,178.42,-7.17,92.0,92.0,19.26
-34.67,150.86,71.6,100.0,0.0,3.6
-30.17,-50.22,86.97,89.0,8.0,3.6
42.44,22.31,20.33,77.0,68.0,6.17
8.96,38.73,70.19,17.0,0.0,9.08
-20.31,118.58,86.0,79.0,40.0,16.11
53.94,139.92,-4.88,80.0,56.0,2.37
-38.31,-60.23,84.23,49.0,88.0,8.63
-8.93,125.41,69.56,92.0,20.0,1.36
41.42,-6.55,48.9,67.0,20.0,4.16
55.05,74.58,14.3,84.0,64.0,5.5
-46.43,-67.52,74.24,36.0,20.0,24.52
3.07,172.79,82.88,100.0,20.0,11.43
6.12,81.12,82.4,83.0,20.0,6.93
29.74,-97.91,46.63,75.0,90.0,4.27
38.06,-97.93,28.56,95.0,90.0,4.7
52.93,87.98,-8.66,61.0,48.0,2.26
43.54,0.58,50.0,66.0,0.0,6.93
-32.72,152.14,77.0,73.0,0.0,6.93
46.32,-78.7,19.4,92.0,90.0,16.11
25.21,64.64,71.09,91.0,0.0,11.99
65.61,-37.64,10.4,39.0,75.0,13.87
27.97,-114.04,51.92,100.0,64.0,9.64
33.93,134.5,46.4,65.0,75.0,10.29
54.32,-130.32,32.0,100.0,1.0,3.36
51.24,47.51,31.49,95.0,92.0,14.0
37.46,-122.43,51.01,93.0,90.0,19.82
32.83,-109.71,42.08,75.0,1.0,10.29
-0.6,73.08,81.44,100.0,64.0,2.71
46.49,-94.36,21.4,92.0,90.0,9.17
43.74,-81.71,28.92,95.0,80.0,12.55
64.42,-173.23,31.94,92.0,92.0,19.15
-0.74,-90.35,80.6,78.0,20.0,10.29
-21.21,-159.78,75.2,88.0,40.0,10.87
65.28,-126.83,-20.21,75.0,40.0,2.24
5.35,48.53,77.97,74.0,8.0,18.7
-46.13,167.69,49.13,100.0,0.0,5.61
22.89,-109.91,61.84,82.0,75.0,6.93
46.61,11.16,31.26,23.0,0.0,3.36
69.22,-51.1,-2.21,64.0,75.0,3.36
9.49,50.81,76.08,100.0,0.0,15.01
54.1,77.67,17.13,89.0,68.0,7.29
-10.75,-77.76,71.85,97.0,8.0,9.19
34.64,-120.46,54.54,91.0,90.0,19.46
39.05,-95.68,31.75,92.0,90.0,5.82
-8.11,115.08,73.25,100.0,56.0,1.81
62.45,-114.38,-16.61,68.0,90.0,4.7
63.05,179.32,8.09,95.0,80.0,30.89
-1.24,116.86,80.72,100.0,20.0,9.75
63.29,18.72,12.04,78.0,0.0,8.05
66.15,-65.72,-7.61,57.0,90.0,12.75
-18.35,26.5,87.47,43.0,24.0,9.42
13.5,106.97,78.2,61.0,12.0,4.83
7.53,-12.5,89.85,59.0,0.0,6.51
53.14,59.15,6.8,92.0,44.0,4.38
-30.97,22.13,88.23,10.0,0.0,8.97
-28.95,153.24,70.41,83.0,0.0,6.93
-1.57,9.26,81.71,100.0,24.0,7.74
22.88,-102.54,50.0,87.0,90.0,4.61
20.71,-78.0,76.85,92.0,8.0,6.73
70.47,-68.59,-29.21,73.0,1.0,9.17
-22.97,-42.02,87.15,62.0,0.0,19.46
44.39,-68.2,17.91,67.0,90.0,5.82
39.31,-74.98,25.02,68.0,1.0,5.82
66.0,57.56,15.47,89.0,88.0,9.75
13.35,74.72,82.4,61.0,0.0,3.36
-19.38,-40.06,90.03,58.0,0.0,6.17
30.44,-84.28,44.01,70.0,90.0,4.7
12.45,125.29,80.0,96.0,0.0,22.39
-21.64,-41.05,89.6,49.0,0.0,6.93
71.98,102.47,-16.31,72.0,48.0,11.43
-6.13,12.37,87.8,70.0,40.0,8.05
-9.94,33.93,82.02,93.0,80.0,5.17
72.79,-56.15,-10.19,100.0,36.0,13.78
47.83,88.13,-3.03,60.0,44.0,2.26
-6.97,-34.84,87.8,55.0,75.0,18.34
-42.88,147.33,62.6,77.0,0.0,3.71
69.49,88.39,7.32,75.0,76.0,18.25
-2.9,-40.84,83.69,89.0,20.0,3.94
4.89,-1.75,85.8,91.0,12.0,9.98
-14.83,-74.94,71.63,72.0,24.0,3.49
62.1,126.7,-40.43,87.0,24.0,4.61
34.26,-6.57,60.8,59.0,75.0,5.82
27.93,96.16,47.51,76.0,0.0,1.14
18.44,1.41,82.25,19.0,0.0,4.61
65.12,57.16,16.01,82.0,80.0,7.63
45.6,-0.6,50.79,50.0,0.0,5.82
-25.04,33.64,77.12,100.0,92.0,13.0
34.68,135.8,48.2,81.0,90.0,17.22
35.73,140.83,37.85,81.0,75.0,4.7
61.91,129.64,-41.81,64.0,0.0,4.47
-17.73,-39.27,80.22,100.0,0.0,8.41
46.86,-114.05,10.94,87.0,90.0,4.7
10.24,-61.45,86.0,58.0,40.0,11.41
50.23,-63.6,12.2,72.0,1.0,5.82
60.06,69.92,9.57,83.0,56.0,5.39
65.42,-52.9,19.97,94.0,80.0,22.17
37.8,-25.58,62.6,77.0,20.0,4.7
-27.6,-48.55,87.8,62.0,20.0,9.17
44.65,-63.58,17.53,62.0,20.0,16.11
49.17,125.23,0.89,50.0,44.0,9.31
59.1,26.19,25.23,96.0,88.0,6.96
71.64,128.87,-42.23,0.0,12.0,2.59
-0.39,-78.55,57.11,87.0,40.0,4.7
64.73,177.51,-7.61,83.0,75.0,13.42
-20.01,57.66,84.2,66.0,40.0,11.41
63.44,-20.27,35.6,100.0,75.0,11.41
40.67,33.6,32.75,100.0,92.0,3.04
47.08,38.16,35.72,89.0,92.0,7.29
50.68,156.12,24.92,100.0,48.0,6.62
27.52,-110.01,51.8,100.0,20.0,2.24
-22.46,-68.93,68.0,28.0,0.0,4.7
-15.19,12.15,78.8,65.0,40.0,14.99
-16.26,-56.62,88.46,92.0,0.0,5.95
65.85,44.24,20.78,92.0,88.0,3.71
65.68,-18.09,28.4,74.0,90.0,4.7
-34.05,23.37,69.42,99.0,92.0,5.39
13.16,76.67,62.85,42.0,0.0,8.19
13.47,22.2,89.09,19.0,12.0,7.18
5.96,-75.98,64.27,72.0,75.0,1.03
61.92,159.24,-12.93,100.0,20.0,6.62
52.06,-2.72,50.0,81.0,40.0,9.17
2.02,112.94,75.86,96.0,92.0,1.92
1.3,124.91,75.2,94.0,40.0,3.36
71.03,27.85,22.51,85.0,0.0,10.29
65.58,-170.99,32.93,96.0,92.0,26.75
-2.67,141.3,83.42,99.0,32.0,14.67
32.65,-17.07,64.4,59.0,40.0,12.75
-5.95,29.2,75.68,100.0,88.0,6.17
64.25,-15.21,33.33,100.0,92.0,13.67
6.33,-10.8,93.2,56.0,75.0,16.11
20.18,-97.59,64.4,93.0,90.0,1.36
-34.61,-68.33,80.0,34.0,0.0,2.26
-4.05,103.78,70.05,93.0,88.0,1.59
-24.39,-65.26,71.6,88.0,75.0,5.82
27.87,-0.29,62.6,23.0,0.0,5.82
-33.52,-53.37,70.5,100.0,92.0,5.06
47.66,-52.73,27.32,92.0,90.0,18.34
23.57,70.65,63.44,52.0,0.0,6.4
62.16,-7.17,39.2,100.0,92.0,9.17
30.78,78.62,35.18,88.0,0.0,2.37
59.7,150.17,-33.86,59.0,12.0,2.59
44.45,15.06,50.0,25.0,20.0,9.17
39.0,-77.4,22.32,100.0,1.0,7.85
43.71,-98.03,24.98,92.0,90.0,8.05
-34.0,24.73,71.36,78.0,76.0,9.75
-17.26,27.46,87.15,58.0,80.0,8.19
58.52,-117.13,-14.81,83.0,90.0,3.27
35.6,103.21,6.78,35.0,0.0,5.17
-2.03,-79.75,78.8,88.0,75.0,5.82
46.68,113.28,4.58,47.0,0.0,14.45
15.79,120.99,67.53,95.0,48.0,2.93
26.43,92.03,62.6,82.0,20.0,3.36
-18.65,146.16,77.12,100.0,92.0,11.99
36.67,-121.66,51.22,86.0,90.0,16.11
22.56,-79.83,68.0,88.0,75.0,6.93
18.22,-63.06,80.6,57.0,20.0,10.29
30.47,70.97,59.0,72.0,20.0,3.15
62.91,6.91,29.64,86.0,75.0,5.82
39.62,-77.74,21.74,84.0,1.0,4.61
-6.98,39.3,86.0,74.0,20.0,10.29
10.59,122.14,75.05,86.0,20.0,15.01
60.57,27.2,24.8,100.0,90.0,6.93
52.04,76.93,21.2,85.0,90.0,4.47
0.49,42.79,85.94,57.0,0.0,12.44
48.64,13.53,39.2,64.0,75.0,20.8
41.39,-78.88,21.34,73.0,90.0,8.05
32.31,121.18,37.79,98.0,68.0,14.34
-33.3,-66.34,80.81,52.0,0.0,4.61
35.63,111.36,15.33,55.0,36.0,2.15
59.09,57.8,14.84,85.0,80.0,11.65
21.46,-71.14,76.85,100.0,0.0,3.71
43.52,20.24,28.08,92.0,75.0,9.17
53.41,-2.98,48.81,76.0,75.0,10.29
-32.6,149.59,77.0,53.0,24.0,2.59
-45.87,-67.48,75.2,62.0,0.0,33.33
-39.94,176.59,59.97,97.0,92.0,13.22
58.81,-122.69,-3.44,74.0,92.0,2.48
64.86,-147.8,-5.7,79.0,1.0,2.37
-2.76,-42.27,89.6,52.0,40.0,6.93
54.87,69.13,11.37,83.0,56.0,3.38
58.66,6.71,44.6,70.0,75.0,20.8
-46.28,169.85,44.22,80.0,0.0,3.27
27.3,105.3,34.82,97.0,92.0,2.59
53.39,142.95,8.18,89.0,80.0,11.21
60.47,40.21,25.77,93.0,88.0,15.01
60.55,-151.26,22.93,68.0,1.0,9.17
13.98,10.27,81.17,22.0,0.0,7.4
39.42,22.43,45.25,20.0,20.0,13.87
-17.86,-41.51,90.12,48.0,0.0,6.96
13.0,15.73,83.37,19.0,0.0,9.98
9.94,3.21,93.32,21.0,0.0,6.73
50.78,121.52,-10.1,63.0,24.0,5.73
22.69,58.55,65.55,79.0,20.0,2.48
48.41,-89.26,12.2,92.0,75.0,4.7
-0.72,8.78,87.8,74.0,40.0,10.29
53.97,-8.3,48.45,100.0,75.0,12.75
40.29,97.04,4.62,73.0,44.0,2.93
52.47,1.45,48.83,76.0,75.0,13.87
-2.51,-66.09,83.73,86.0,24.0,6.29
-9.65,120.26,71.63,100.0,92.0,2.15
-28.58,-70.76,71.13,62.0,0.0,2.93
32.3,-64.78,66.2,68.0,75.0,12.75
51.36,112.48,9.8,67.0,24.0,11.88
39.36,16.04,41.88,85.0,40.0,9.17
-19.25,17.72,91.4,43.0,40.0,9.17
-14.91,-69.87,51.8,62.0,75.0,2.24
40.87,-124.08,50.0,52.0,90.0,6.93
53.8,-9.52,46.4,100.0,75.0,12.75
45.52,-122.67,31.75,61.0,20.0,16.11
50.92,117.94,-3.93,70.0,8.0,4.72
-5.81,-61.3,80.6,83.0,0.0,5.82
4.87,-2.24,84.41,96.0,12.0,13.78
21.39,-158.15,65.62,85.0,75.0,3.36
-33.59,-70.7,72.5,49.0,0.0,2.24
43.32,145.57,38.15,89.0,92.0,35.14
55.53,70.34,5.48,75.0,48.0,3.6
12.22,125.48,76.76,96.0,64.0,17.13
41.89,12.48,55.36,34.0,0.0,5.82
-31.63,-71.17,67.4,83.0,0.0,3.71
17.01,54.1,77.0,69.0,40.0,5.82
44.77,-117.83,24.98,80.0,90.0,6.93
2.82,-60.67,84.2,54.0,75.0,16.11
-20.56,164.28,75.23,94.0,20.0,7.18
31.8,34.94,61.66,36.0,0.0,12.75
3.3,117.63,78.38,100.0,76.0,2.26
43.7,-114.35,6.67,72.0,40.0,9.17
50.38,90.44,-29.36,36.0,8.0,2.15
-22.28,166.46,71.6,78.0,0.0,2.24
46.12,-70.67,10.92,76.0,64.0,3.38
33.08,-16.33,64.4,52.0,20.0,9.17
39.93,9.66,57.2,54.0,5.0,5.82
67.46,153.71,-29.9,50.0,24.0,3.38
-20.74,116.85,84.77,55.0,0.0,7.18
-12.98,-38.48,86.0,74.0,40.0,8.05
58.45,92.17,6.15,72.0,20.0,6.29
-14.27,50.17,83.15,100.0,88.0,16.35
29.03,21.55,66.05,31.0,0.0,16.91
67.8,130.41,-60.5,0.0,0.0,2.71
18.22,42.5,72.54,46.0,0.0,11.41
-34.29,146.06,86.77,29.0,0.0,6.93
-5.56,-80.82,77.07,77.0,0.0,8.19
43.06,-86.23,29.64,74.0,90.0,6.93
42.58,23.94,28.4,58.0,20.0,17.22
3.38,-59.8,90.71,45.0,0.0,14.45
40.56,8.32,57.2,62.0,0.0,8.05
11.0,122.67,75.05,86.0,20.0,15.01
36.83,-119.7,47.86,79.0,90.0,5.95
30.3,-99.24,43.18,79.0,90.0,3.36
34.92,32.53,59.0,77.0,75.0,20.8
4.14,96.13,78.74,100.0,24.0,1.03
-19.06,-169.92,77.0,94.0,88.0,1.12
70.86,29.09,20.03,92.0,24.0,11.41
51.13,2.75,45.91,75.0,75.0,17.22
-7.94,110.25,74.82,96.0,92.0,6.06
64.57,143.24,-64.32,0.0,8.0,1.7
-8.19,15.37,80.22,59.0,32.0,5.39
60.86,8.55,15.83,82.0,80.0,0.92
-41.05,145.91,65.73,94.0,0.0,15.79
-25.41,-70.49,68.75,74.0,0.0,3.6
5.79,-6.61,91.97,63.0,0.0,3.94
5.38,-52.96,78.92,98.0,44.0,6.62
38.47,-78.0,24.76,97.0,1.0,2.82
50.56,-96.99,13.67,96.0,12.0,26.87
-6.48,16.82,81.98,65.0,64.0,2.93
8.13,77.3,84.2,74.0,0.0,3.36
-31.43,152.91,75.2,73.0,0.0,9.17
15.09,-87.97,69.8,100.0,20.0,3.36
-26.15,-56.4,89.67,76.0,12.0,5.39
44.1,3.08,44.6,65.0,0.0,2.24
52.41,12.16,40.22,96.0,92.0,23.51
-0.42,102.29,72.98,95.0,88.0,2.71
6.75,11.81,90.62,16.0,20.0,5.28
5.28,115.24,77.9,94.0,90.0,3.36
34.34,132.59,40.26,67.0,75.0,11.99
20.89,-156.47,62.67,93.0,1.0,5.82
27.69,-105.17,48.14,97.0,92.0,3.27
63.84,-22.43,32.0,100.0,75.0,8.05
16.42,-3.66,87.56,22.0,0.0,5.28
34.16,77.58,-11.63,79.0,80.0,1.59
26.23,66.31,56.82,78.0,0.0,3.6
40.81,-74.0,26.19,52.0,1.0,3.71
-33.73,-70.74,72.5,49.0,0.0,2.24
4.95,-6.09,83.73,98.0,0.0,13.78
28.5,30.8,63.12,21.0,0.0,13.0
-14.4,-56.44,86.66,77.0,0.0,4.94
48.95,4.24,44.55,87.0,90.0,10.29
-19.77,-43.85,81.93,51.0,40.0,4.7
39.36,33.73,42.29,96.0,92.0,22.28
45.91,43.34,34.68,93.0,88.0,9.08
51.2,29.09,29.24,81.0,36.0,17.47
31.21,16.59,62.54,84.0,88.0,22.06
13.81,8.99,78.8,9.0,0.0,9.17
10.2,122.99,73.2,95.0,20.0,4.5
51.33,-0.78,47.75,81.0,75.0,13.87
54.34,101.51,-9.83,66.0,0.0,3.94
51.01,90.2,-24.59,30.0,8.0,0.69
50.72,136.64,-11.85,56.0,68.0,2.59
41.28,20.71,30.2,30.0,0.0,11.41
-14.9,50.28,81.48,82.0,68.0,9.86
12.87,74.84,82.4,61.0,0.0,3.36
13.56,123.37,76.49,88.0,0.0,14.12
56.78,105.75,-0.47,73.0,56.0,2.71
-17.91,19.77,91.02,37.0,0.0,12.44
41.28,-70.1,28.69,51.0,1.0,6.93
26.56,54.88,75.2,73.0,20.0,6.93
57.76,27.95,26.6,86.0,76.0,4.47
45.67,-108.77,24.98,59.0,1.0,16.11
-20.34,57.76,84.2,66.0,40.0,11.41
31.72,130.27,50.03,100.0,0.0,15.01
20.93,-17.03,69.8,60.0,8.0,12.75
22.76,100.79,49.94,82.0,0.0,1.81
56.66,16.36,30.2,68.0,75.0,13.87
27.05,-82.42,55.87,71.0,1.0,12.75
46.54,-87.4,23.2,92.0,90.0,6.93
48.81,103.53,-8.84,43.0,0.0,2.71
30.44,-86.61,40.15,79.0,90.0,17.22
5.48,-53.21,79.95,80.0,92.0,5.17
14.69,-16.54,82.4,37.0,0.0,13.87
70.0,135.55,-57.48,0.0,8.0,2.93
67.67,53.09,13.58,80.0,68.0,6.4
0.12,117.47,80.45,100.0,32.0,8.41
-3.66,152.44,83.06,100.0,48.0,9.42
65.99,60.32,11.96,73.0,88.0,3.04
60.25,24.07,23.0,85.0,90.0,10.29
22.68,-3.98,70.73,23.0,0.0,7.63
32.25,54.02,64.4,34.0,40.0,4.7
36.97,-122.03,50.83,92.0,90.0,8.86
29.44,55.67,52.28,46.0,64.0,7.96
29.14,21.3,64.16,43.0,56.0,19.04
-45.87,170.5,39.45,92.0,0.0,2.82
37.14,-8.45,59.0,72.0,20.0,9.17
53.89,86.74,-6.95,59.0,64.0,3.15
-27.01,30.81,75.27,82.0,76.0,5.73
9.67,8.4,88.05,40.0,0.0,4.61
-6.22,155.63,78.83,100.0,8.0,3.15
-22.76,-46.14,86.0,55.0,20.0,3.36
33.37,134.14,40.22,100.0,0.0,8.19
42.12,118.78,5.25,31.0,0.0,7.18
9.54,99.94,80.6,88.0,20.0,2.82
19.55,-71.08,77.04,88.0,20.0,6.93
6.13,-5.95,89.67,69.0,8.0,3.38
43.74,17.27,44.6,28.0,40.0,11.41
9.6,-5.2,95.48,21.0,0.0,8.75
78.22,15.63,1.4,70.0,20.0,11.41
36.09,28.02,55.4,93.0,75.0,29.97
-21.35,165.16,75.05,100.0,0.0,18.48
59.06,80.87,16.05,88.0,68.0,4.38
-22.82,47.83,83.55,88.0,88.0,11.43
-26.79,-60.44,87.65,89.0,12.0,16.24
20.9,74.77,61.82,71.0,0.0,4.38
51.2,49.73,27.93,94.0,92.0,15.46
24.52,-104.78,50.0,100.0,90.0,5.82
19.28,-81.25,80.6,83.0,20.0,8.05
-1.8,-53.48,79.05,89.0,76.0,3.38
55.24,40.35,24.6,85.0,32.0,15.46
39.15,-123.21,48.02,89.0,90.0,6.62
8.12,-63.55,85.04,56.0,8.0,12.44
8.2,-59.78,79.73,83.0,100.0,7.18
-20.95,164.69,76.67,100.0,80.0,11.88
-12.79,45.27,86.0,74.0,0.0,9.17
43.97,-111.68,1.04,78.0,1.0,2.82
-9.67,-35.74,84.2,58.0,75.0,11.41
62.67,131.17,-39.35,83.0,48.0,3.38
-4.58,-81.27,62.6,290.0,75.0,16.11
-20.73,139.49,86.0,33.0,40.0,4.7
47.44,-79.64,10.4,85.0,90.0,5.82
68.22,-135.01,-13.01,75.0,75.0,6.93
45.18,8.4,51.62,27.0,0.0,9.17
54.72,-113.29,0.12,71.0,44.0,2.93
-43.3,-65.11,82.92,21.0,8.0,11.43
-3.71,-38.6,77.0,100.0,75.0,8.05
21.28,-88.27,74.06,69.0,0.0,8.08
-30.38,153.1,72.09,73.0,0.0,11.41
52.3,5.62,46.53,87.0,90.0,14.99
11.28,-15.83,84.23,86.0,0.0,4.38
29.06,-13.56,66.2,77.0,20.0,17.22
42.43,130.64,13.49,94.0,0.0,14.45
38.18,-83.43,26.85,92.0,90.0,4.7
18.69,12.92,70.28,25.0,0.0,8.97
-26.65,15.16,71.22,60.0,0.0,20.71
39.33,-82.98,16.65,92.0,90.0,5.5
-7.84,-79.15,73.4,78.0,20.0,11.41
-2.95,25.92,83.06,68.0,44.0,2.93
10.57,72.64,82.92,100.0,0.0,7.29
15.12,108.8,68.03,99.0,92.0,2.59
8.5,8.51,94.04,29.0,0.0,1.7
61.74,130.28,-41.81,64.0,0.0,4.47
47.39,28.83,32.0,88.0,0.0,6.93
60.82,-115.79,-22.01,74.0,20.0,2.24
27.91,-15.45,68.0,60.0,20.0,4.7
67.67,12.69,25.84,79.0,75.0,6.93
11.94,-8.41,96.6,17.0,0.0,10.65
-30.65,24.01,91.38,12.0,0.0,9.86
57.02,82.07,16.91,90.0,80.0,4.27
46.42,3.91,44.6,97.0,90.0,2.24
36.19,-94.13,30.52,92.0,90.0,6.93
28.02,-97.05,52.18,76.0,90.0,9.17
31.86,10.98,54.98,59.0,0.0,6.29
-20.04,-47.75,82.4,51.0,0.0,5.82
41.8,140.75,36.44,100.0,0.0,19.82
45.13,35.22,42.78,100.0,88.0,3.49
5.43,7.07,91.4,59.0,75.0,4.7
4.42,-7.36,83.33,100.0,8.0,12.77
16.45,-85.85,73.4,94.0,40.0,8.41
9.42,123.33,75.72,100.0,92.0,12.44
24.63,46.72,78.8,22.0,12.0,4.7
-19.26,146.82,77.0,78.0,32.0,9.17
56.31,66.27,7.23,85.0,64.0,7.63
45.25,-81.67,33.92,100.0,88.0,12.21
-33.44,-70.65,72.5,49.0,0.0,2.24
40.12,124.37,3.05,47.0,0.0,3.83
19.91,73.23,71.4,50.0,8.0,5.84
33.6,69.22,15.78,67.0,56.0,2.26
35.76,115.02,19.65,50.0,64.0,2.71
25.83,69.38,56.69,76.0,0.0,2.71
-45.41,167.72,39.45,90.0,0.0,2.59
-19.53,-54.04,90.26,57.0,0.0,6.29
-16.67,-68.14,51.8,71.0,75.0,9.17
37.57,126.98,19.98,52.0,0.0,8.05
41.11,13.89,51.67,37.0,20.0,11.41
-41.87,-73.83,53.6,87.0,90.0,13.87
-13.97,28.68,71.27,79.0,92.0,9.86
41.31,-8.72,57.2,76.0,0.0,8.05
7.99,-10.85,96.47,35.0,0.0,0.69
32.22,-98.2,42.62,85.0,90.0,8.41
55.33,-3.44,46.42,87.0,40.0,31.09
52.93,54.74,15.2,90.0,56.0,10.2
48.99,1.71,46.4,65.0,90.0,6.93
8.5,4.55,90.71,51.0,8.0,3.15
59.24,163.07,-17.48,100.0,0.0,6.4
41.15,16.41,42.53,33.0,20.0,19.46
40.33,19.47,47.55,100.0,8.0,23.85
-9.11,124.89,78.02,100.0,32.0,1.59
41.74,-7.47,49.04,65.0,8.0,3.49
17.54,120.52,68.12,84.0,32.0,2.93
-20.65,-50.36,91.61,64.0,12.0,4.38
38.8,-9.45,51.35,82.0,40.0,4.7
46.81,-100.78,17.94,100.0,1.0,12.75
66.56,67.8,-2.81,73.0,48.0,10.42
27.15,57.07,74.19,57.0,8.0,4.7
